0,1
"[0.08723809523809527, 0.08723809523809527, 0.08044444444444446, 0.06501587301587305, 0.05987301587301585, 0.07015873015873016, 0.07612698412698417, 0.05987301587301585, 0.07879365079365076, 0.07365079365079366, 0.07015873015873016, 0.07612698412698417, 0.06501587301587305, 0.05987301587301585, 0.06501587301587305, 0.05987301587301585]","[[0, 0, 1, 1, 1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 0, 0, 1, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [0, 1, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 1, 1, 1]]"
"[0.07015873015873016, 0.06501587301587305, 0.06501587301587305, 0.08126984126984127, 0.06501587301587305, 0.06501587301587305, 0.06501587301587305, 0.06501587301587305, 0.07015873015873016, 0.08558730158730157, 0.06501587301587305, 0.06501587301587305, 0.07612698412698417, 0.06501587301587305, 0.06501587301587305]","[[1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 1, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0]]"
"[0.07612698412698417, 0.09073015873015867, 0.07612698412698417, 0.08044444444444446, 0.07015873015873016]","[[1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 1, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0]]"
"[0.08641269841269837, 0.07612698412698417, 0.09073015873015867, 0.07612698412698417, 0.07612698412698417, 0.07612698412698417, 0.07612698412698417]","[[1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0]]"
"[0.08126984126984127, 0.08641269841269837, 0.08558730158730157]","[[1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 0, 0, 0]]"
[0.09155555555555558],"[[1, 0, 1, 1, 1, 0, 1, 0, 0]]"
"[0.1121269841269841, 0.1121269841269841]","[[1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0]]"
"[0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841]","[[1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0]]"
"[0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841]","[[1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0]]"
"[0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841, 0.1121269841269841]","[[1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0]]"
