0,1
"[0.3140625, 0.3, 0.3015625, 0.3046874821186065, 0.29531248211860656, 0.28281251788139344, 0.28593751788139343, 0.29218748211860657, 0.28281251788139344, 0.28593751788139343, 0.28281251788139344]","[[1, 0, 1, 1, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1, 1, 1], [0, 1, 1, 1, 0, 1, 1, 0], [1, 0, 0, 1, 1, 1, 1, 1], [1, 0, 0, 1, 0, 1, 0, 1], [1, 0, 1, 1, 0, 1, 1, 0], [1, 1, 1, 0, 1, 0, 0, 0], [0, 1, 1, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [1, 1, 0, 0, 1, 0, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0]]"
"[0.2875, 0.2843750178813934, 0.2968750178813934, 0.2875, 0.2875, 0.29218748211860657, 0.2843750178813934, 0.29218748211860657]","[[1, 1, 0, 1, 1, 1, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 1, 0]]"
"[0.2890625, 0.2890625, 0.2890625]","[[1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0]]"
"[0.2968750178813934, 0.303125, 0.2968750178813934, 0.2937499821186066, 0.2937499821186066, 0.2984375178813934]","[[1, 0, 0, 1, 1, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0], [1, 0, 0, 1, 0, 1, 1, 0]]"
"[0.303125, 0.3109375178813934]","[[1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0]]"
"[0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125]","[[1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0]]"
"[0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125, 0.303125]","[[1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 1, 1, 0]]"
[0.3125000178813934],"[[1, 0, 1, 1, 0, 1, 1, 0]]"
[0.3203124821186066],"[[1, 0, 1, 1, 0, 1, 1, 0]]"
"[0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066]","[[1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0]]"
"[0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066, 0.3203124821186066]","[[1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 1, 0]]"
