0,1
"[0.35312499999999997, 0.29843749999999997, 0.34062499999999996, 0.36874999999999997, 0.29843749999999997, 0.33125000000000004, 0.29218750000000004, 0.2875, 0.3109375, 0.2875, 0.35312499999999997, 0.3265625, 0.2875, 0.32031249999999994, 0.3, 0.3265625, 0.2890625, 0.3109375, 0.2875, 0.29843749999999997]","[[1, 1, 0, 0, 1, 1, 0, 0], [1, 1, 1, 1, 1, 0, 1, 0], [1, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 1, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 1, 0, 1, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0], [1, 0, 1, 0, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 0, 1, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0], [1, 1, 0, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0]]"
"[0.3140625, 0.3, 0.29218750000000004, 0.30781250000000004, 0.2875, 0.321875, 0.303125, 0.3171875, 0.3265625, 0.3265625, 0.2875, 0.2875, 0.2875, 0.2875, 0.2875, 0.2875, 0.30781249999999993, 0.29218750000000004, 0.3015625, 0.3171875]","[[1, 1, 1, 1, 1, 0, 1, 0], [1, 1, 1, 1, 1, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 0, 1, 1, 1]]"
"[0.3015625, 0.29687499999999994, 0.2875, 0.2875, 0.29218750000000004, 0.3015625, 0.2875, 0.2875, 0.29218750000000004, 0.32343749999999993, 0.29218750000000004, 0.2875, 0.3015625, 0.2875, 0.2875, 0.2875, 0.3015625, 0.2875, 0.29218750000000004, 0.2875]","[[1, 1, 1, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 1, 1, 0, 1, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1]]"
"[0.29218750000000004, 0.3015625, 0.2875, 0.29687499999999994, 0.2875, 0.2875, 0.29218750000000004, 0.2875, 0.29218750000000004, 0.2875, 0.29218750000000004, 0.29687499999999994, 0.2875, 0.2875, 0.2875, 0.3015625, 0.29687499999999994, 0.3015625, 0.29687499999999994, 0.29687499999999994]","[[1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 1, 1, 0, 1]]"
"[0.2890625, 0.29218750000000004, 0.29218750000000004, 0.29218750000000004, 0.29687499999999994, 0.29218750000000004, 0.29687499999999994, 0.2875, 0.29218750000000004, 0.2875, 0.29687499999999994, 0.28281249999999997, 0.2890625, 0.29218750000000004, 0.2875, 0.29218750000000004, 0.2875, 0.30625, 0.2890625, 0.29687499999999994]","[[1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1]]"
"[0.3015625, 0.29218750000000004, 0.2875, 0.2875, 0.3015625, 0.29218750000000004, 0.2875, 0.29687499999999994, 0.2875, 0.2875, 0.28437499999999993, 0.3390625, 0.2890625, 0.2890625, 0.29218750000000004, 0.2890625, 0.2875, 0.29218750000000004, 0.29218750000000004, 0.2875]","[[1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1]]"
"[0.2875, 0.271875, 0.2890625, 0.275, 0.29218750000000004, 0.29687499999999994, 0.3015625, 0.29218750000000004, 0.2890625, 0.303125, 0.2765625, 0.29687499999999994, 0.271875, 0.271875, 0.2890625, 0.27031249999999996, 0.29218750000000004, 0.2671875, 0.29218750000000004, 0.2671875]","[[1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 1, 1], [0, 1, 1, 0, 0, 1, 0, 0]]"
"[0.275, 0.271875, 0.2671875, 0.275, 0.271875, 0.271875, 0.28125000000000006, 0.2625, 0.271875, 0.28437499999999993, 0.27031249999999996, 0.27031249999999996, 0.271875, 0.321875, 0.29843749999999997, 0.2671875, 0.271875, 0.275, 0.29843749999999997, 0.27031249999999996]","[[0, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1]]"
"[0.271875, 0.27968750000000003, 0.2875, 0.2625, 0.275, 0.2765625, 0.28281249999999997, 0.28125000000000006, 0.271875, 0.2671875, 0.2875, 0.271875, 0.271875, 0.28437499999999993, 0.28125000000000006, 0.28281249999999997, 0.2875, 0.2671875, 0.28125000000000006, 0.271875]","[[0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0]]"
"[0.271875, 0.271875, 0.271875, 0.2671875, 0.2671875, 0.2765625, 0.271875, 0.2671875, 0.271875, 0.2671875, 0.271875, 0.2671875, 0.271875, 0.2765625, 0.271875, 0.2765625, 0.271875, 0.2671875, 0.271875, 0.271875]","[[0, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 0, 0]]"
