ffspring = [0, 1, 1, 1, 1, 1, 1, 0], val accuracy = 0.75
Offspring = [0, 0, 1, 1, 0, 1, 1, 1], val accuracy = 0.7552083134651184
Offspring = [0, 0, 1, 0, 1, 1, 1, 1], val accuracy = 0.7083333134651184
Offspring = [0, 1, 1, 0, 1, 0, 0, 1], val accuracy = 0.703125
Offspring = [1, 1, 1, 0, 0, 1, 0, 1], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.7447916865348816
Offspring = [0, 0, 1, 1, 0, 0, 1, 1], val accuracy = 0.6875
Offspring = [0, 1, 1, 1, 1, 1, 1, 0], val accuracy = 0.7552083134651184
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.7760416865348816
Offspring = [0, 1, 0, 0, 1, 1, 0, 1], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.78125
Offspring = [0, 1, 1, 0, 1, 1, 0, 0], val accuracy = 0.75
Offspring = [1, 1, 1, 1, 1, 1, 0, 1], val accuracy = 0.75
Offspring = [1, 1, 0, 0, 1, 1, 1, 1], val accuracy = 0.7760416865348816
Offspring = [1, 0, 0, 1, 0, 0, 0, 1], val accuracy = 0.6875
Offspring = [1, 0, 1, 1, 1, 0, 0, 1], val accuracy = 0.703125
Offspring = [1, 1, 1, 1, 0, 1, 0, 1], val accuracy = 0.7864583134651184
Offspring = [1, 1, 1, 0, 1, 0, 0, 0], val accuracy = 0.7291666865348816
Offspring = [1, 1, 0, 0, 0, 1, 0, 0], val accuracy = 0.7447916865348816
Offspring = [1, 1, 1, 1, 1, 1, 1, 1], val accuracy = 0.8177083134651184
----------------------- Generation 0---------------------
[0.3, 0.28281251788139344, 0.32500001788139343, 0.3171875, 0.2875, 0.29218748211860657, 0.33125, 0.29531251788139345, 0.26406248211860656, 0.275, 0.271875, 0.275, 0.3125, 0.27656248211860657, 0.31875, 0.3296875, 0.2671875178813934, 0.2937499821186066, 0.26718748211860655, 0.26406251788139345]
Offspring = [1, 1, 0, 1, 0, 1, 1, 0], val accuracy = 0.734375
